,T1,T2,direction,effect size,prevalence_T1,prevalence_T2,pval_naive,pval_bh,pval_by,pval_bonf
437,Septu,RM_Type_IIG_2,1,0.0864075693774389,0.16716163041057241,0.0657621204246789,0.43446974201779487,0.5,1.0,1.0
433,Septu,SDIC3,1,0.08451730992723247,0.16716163041057241,0.19253470933254138,0.3888960652122274,0.5,1.0,1.0
153,CBASS_I,PD-T4-3,1,0.08376895562979826,0.19114262380280644,0.17644220060880542,0.38323195537481286,0.5,1.0,1.0
17,RM_Type_II,BREX_I,1,0.08046385129528981,0.48999554532630485,0.08146484520008909,0.3834025408371193,0.5,1.0,1.0
467,Shango,BREX_I,1,0.07782533642593492,0.07097780087608582,0.08146484520008909,0.4149204899503859,0.5,1.0,1.0
404,PD-T4-3,PsyrTA,-1,0.07681513761585623,0.17644220060880542,0.3939973271957829,0.4189291937308624,0.5,1.0,1.0
187,RloC,Septu,1,0.07642031116150624,0.05859752023164303,0.16716163041057241,0.4241612165333021,0.5,1.0,1.0
612,Dpd,DS-17,1,0.07433721301015779,0.05456975276560992,0.10913950553121984,0.44743756773060905,0.5,1.0,1.0
146,CBASS_I,RloC,-1,0.07331321363999262,0.19114262380280644,0.05859752023164303,0.4092443921524148,0.5,1.0,1.0
219,Zorya_TypeII,Septu,1,0.07328709268694152,0.05993392234018858,0.16716163041057241,0.4418405876904621,0.5,1.0,1.0
0,RM_Type_II,RM_Type_I,-1,0.0694664030660237,0.48999554532630485,0.6987155690845646,0.37264336861327363,0.5,1.0,1.0
677,PsyrTA,DS-17,1,0.06700143556101977,0.3939973271957829,0.10913950553121984,0.45322652757513543,0.5,1.0,1.0
46,RM_Type_I,RosmerTA,1,0.06281270911104533,0.6987155690845646,0.10141807112629,0.4201467556759722,0.5,1.0,1.0
269,Druantia_III,Mokosh_Type_I_A,-1,0.05993212086432882,0.1011953374415324,0.052193926794862275,0.4392091356566711,0.5,1.0,1.0
643,AbiE,Mokosh_Type_I_A,-1,0.058590756678916715,0.18371816764422005,0.052193926794862275,0.4551345105584411,0.5,1.0,1.0
328,MazEF,Mokosh_Type_I_A,-1,0.05526349649610482,0.8877793451629669,0.052193926794862275,0.4384885469292933,0.5,1.0,1.0
599,Gao_Tmn,Lamassu-Mrr,1,0.054459853396223,0.10472195411686094,0.16294825154057466,0.4422719312664078,0.5,1.0,1.0
699,RnlAB,Lamassu-Mrr,-1,0.05417467019425283,0.03732645333729304,0.16294825154057466,0.45619352870193314,0.5,1.0,1.0
97,RM_Type_IV,CAS_Class1-Subtype-I-E,1,0.05302703842495481,0.5162781201277007,0.5630521939267948,0.443499240280651,0.5,1.0,1.0
211,RloC,DS-1,1,0.05122333038239693,0.05859752023164303,0.05306630039349618,0.45025979047896003,0.5,1.0,1.0
456,Mok_Hok_Sok,DS-17,-1,0.048502950445745055,0.6015851213898582,0.10913950553121984,0.4316115007652278,0.5,1.0,1.0
106,RM_Type_IV,DS-28,-1,0.048174860388436866,0.5162781201277007,0.09334397505382731,0.43887729902449013,0.5,1.0,1.0
592,Gao_Tmn,SanaTA,-1,0.04774685694829894,0.10472195411686094,0.2112257777117826,0.4476737627618744,0.5,1.0,1.0
44,RM_Type_I,PrrC,-1,0.04684127482502084,0.6987155690845646,0.19463211819734205,0.4236507125597527,0.5,1.0,1.0
509,Hachiman,PD-T7-4,1,0.046407616671895704,0.05739104610587274,0.046235800727596706,0.4670657873404352,0.5,1.0,1.0
113,Kiwa,Zorya_TypeII,1,0.04363616269759488,0.06940010394238622,0.05993392234018858,0.46169956633071296,0.5,1.0,1.0
93,RM_Type_IV,Gao_Tmn,-1,0.043632682152480576,0.5162781201277007,0.10472195411686094,0.442335877300275,0.5,1.0,1.0
482,Shango,Lamassu-Mrr,-1,0.042364302209820154,0.07097780087608582,0.16294825154057466,0.459329616301687,0.5,1.0,1.0
3,RM_Type_II,CBASS_I,1,0.040534906012744384,0.48999554532630485,0.19114262380280644,0.4375519654224138,0.5,1.0,1.0
307,MazEF,Mokosh_TypeII,-1,0.03748456808984397,0.8877793451629669,0.19156953003192517,0.45493761097114177,0.5,1.0,1.0
284,PrrC,PD-Lambda-1,-1,0.036081213700968603,0.19463211819734205,0.08623505828198084,0.4421222734953365,0.5,1.0,1.0
531,BREX_I,RM_Type_III,1,0.03562071746992487,0.08146484520008909,0.1276449625064964,0.45898193068690796,0.5,1.0,1.0
22,RM_Type_II,BstA,-1,0.035193832847825166,0.48999554532630485,0.04382285247605613,0.455968061308366,0.5,1.0,1.0
4,RM_Type_II,RloC,1,0.03439094365592063,0.48999554532630485,0.05859752023164303,0.45402802164015055,0.5,1.0,1.0
131,Kiwa,AbiE,1,0.0332480887354034,0.06940010394238622,0.18371816764422005,0.47787381364144016,0.5,1.0,1.0
678,PsyrTA,SDIC3,1,0.033023780907687206,0.3939973271957829,0.19253470933254138,0.47275234512565634,0.5,1.0,1.0
195,RloC,Gao_Tmn,-1,0.03215481591168082,0.05859752023164303,0.10472195411686094,0.4560917548409532,0.5,1.0,1.0
374,Mokosh_TypeII,BstA,-1,0.031041258081672796,0.19156953003192517,0.04382285247605613,0.4666841536338249,0.5,1.0,1.0
208,RloC,DS-28,1,0.02791896025614321,0.05859752023164303,0.09334397505382731,0.47155009038019535,0.5,1.0,1.0
417,Septu,Shango,-1,0.025976243253584663,0.16716163041057241,0.07097780087608582,0.4702074204753117,0.5,1.0,1.0
294,PrrC,PsyrTA,1,0.025132281018769805,0.19463211819734205,0.3939973271957829,0.47458576784876455,0.5,1.0,1.0
364,Mokosh_TypeII,Septu,-1,0.02170878011370951,0.19156953003192517,0.16716163041057241,0.4747281046170928,0.5,1.0,1.0
731,DS-28,RM_Type_IIG_2,1,0.020073870659132742,0.09334397505382731,0.0657621204246789,0.47942204805939703,0.5,1.0,1.0
733,DS-28,DS-1,-1,0.0197431604635864,0.09334397505382731,0.05306630039349618,0.4747680985007137,0.5,1.0,1.0
14,RM_Type_II,Shango,-1,0.019502729652136164,0.48999554532630485,0.07097780087608582,0.46772211866635344,0.5,1.0,1.0
503,Hachiman,Mokosh_Type_I_A,-1,0.017978830836421482,0.05739104610587274,0.052193926794862275,0.47959112024270756,0.5,1.0,1.0
513,PD-Lambda-1,Gao_Tmn,1,0.01747268141367951,0.08623505828198084,0.10472195411686094,0.47415356789243424,0.5,1.0,1.0
470,Shango,Gao_Tmn,1,0.013752767151840761,0.07097780087608582,0.10472195411686094,0.4854072470789529,0.5,1.0,1.0
563,RM_Type_III,Mokosh_Type_I_A,1,0.013031507133041936,0.1276449625064964,0.052193926794862275,0.48827571532946756,0.5,1.0,1.0
483,Shango,DS-28,1,0.013013348779768757,0.07097780087608582,0.09334397505382731,0.48856970712205605,0.5,1.0,1.0
425,Septu,BstA,1,0.011194914623187058,0.16716163041057241,0.04382285247605613,0.4876252837609132,0.5,1.0,1.0
202,RloC,RM_Type_IV_1,-1,0.01051711056656357,0.05859752023164303,0.23470562031331205,0.4859855149617922,0.5,1.0,1.0
451,Mok_Hok_Sok,CAS_Class1-Subtype-I-E,1,0.00976295948093877,0.6015851213898582,0.5630521939267948,0.4842152975237698,0.5,1.0,1.0
191,RloC,PD-Lambda-1,1,0.007817093835117014,0.05859752023164303,0.08623505828198084,0.49228088879649756,0.5,1.0,1.0
240,Zorya_TypeII,DS-28,1,0.00384885847843619,0.05993392234018858,0.09334397505382731,0.4993672834171398,0.5,1.0,1.0
142,Kiwa,RM_Type_IIG_2,1,0.0016864261892493015,0.06940010394238622,0.0657621204246789,0.4983137472908882,0.5,1.0,1.0
156,CBASS_I,Shango,-1,0.0015410425940035055,0.19114262380280644,0.07097780087608582,0.49697427813895295,0.5,1.0,1.0
