,T1,T2,direction,effect size,prevalence_T1,prevalence_T2,pval_naive,pval_bh,pval_by,pval_bonf
90,AbiE,PsyrTA,-1,0.9893454512145275,0.053493613824192335,0.0526671675432006,0.09441749359380373,0.28535064730571796,1.0,1.0
105,PD-T4-1,PARIS_II,1,0.9526210561650905,0.019894815927873778,0.02211870773854245,0.027009966676847443,0.10965240203138066,0.6781841894349531,1.0
118,RM_Type_III,PARIS_II,1,0.9428924001221598,0.13646882043576258,0.02211870773854245,0.013531064538383101,0.06485805774566714,0.4011376723692991,1.0
61,RM_Type_IV,PD-T4-1,1,0.8500169592570059,0.13350864012021038,0.019894815927873778,0.047333096945519404,0.1689965160025899,1.0,1.0
73,CAS_Class1-Subtype-I-E,Retron_II,-1,0.8154902838094329,0.20018031555221638,0.03313298271975958,0.103982660991699,0.30620311743487216,1.0,1.0
75,CAS_Class1-Subtype-I-E,BREX_I,-1,0.8112839011445248,0.20018031555221638,0.03682945154019534,0.11385062120995029,0.32944009541602637,1.0,1.0
39,RM_Type_I,BREX_I,-1,0.8064170545551193,0.21284748309541698,0.03682945154019534,0.061796933151048956,0.20797939860180373,1.0,1.0
17,CBASS_I,RM_Type_II,-1,0.7756513154913789,0.042945154019534186,0.138572501878287,0.009440332348326624,0.04844849808952531,0.299646927905715,1.0
72,CAS_Class1-Subtype-I-E,PD-T4-1,1,0.7670408938008931,0.20018031555221638,0.019894815927873778,0.10469444824059967,0.30620311743487216,1.0,1.0
48,RM_Type_II,MazEF,1,0.7476950179112241,0.138572501878287,0.15989481592787377,0.005210912488173925,0.02952850409965224,0.18262951150234089,1.0
109,Retron_II,BREX_I,-1,0.7269102672336394,0.03313298271975958,0.03682945154019534,0.043315850704843895,0.1592150188069938,0.9847217796887904,1.0
43,RM_Type_I,PD-T4-3,-1,0.7237524745295318,0.21284748309541698,0.07738542449286251,0.04994125376176487,0.17415411568205186,1.0,1.0
62,RM_Type_IV,Retron_II,-1,0.7119191268023832,0.13350864012021038,0.03313298271975958,0.047840925486027294,0.1689965160025899,1.0,1.0
40,RM_Type_I,AbiU,-1,0.6803584211470515,0.21284748309541698,0.019053343350864012,0.06346430177922688,0.20797939860180373,1.0,1.0
34,RM_Type_I,AbiE,-1,0.6766472480797691,0.21284748309541698,0.053493613824192335,0.20563673926748555,0.5,1.0,1.0
38,RM_Type_I,RM_Type_III,1,0.6508764092280237,0.21284748309541698,0.13646882043576258,0.04150847367698914,0.15678507923595014,0.9696929561716134,1.0
66,RM_Type_IV,Mokosh_TypeII,-1,0.6261529680343352,0.13350864012021038,0.0641923365890308,0.07568797504785181,0.23663366911512293,1.0,1.0
81,AbiE,MazEF,-1,0.6095569824487042,0.053493613824192335,0.15989481592787377,0.21276898735332722,0.5,1.0,1.0
15,Mok_Hok_Sok,PsyrTA,-1,0.6073395287115035,0.12283996994740796,0.0526671675432006,0.16764628947886268,0.4470567719436338,1.0,1.0
58,RM_Type_IV,CAS_Class1-Subtype-I-E,-1,0.5930785685530875,0.13350864012021038,0.20018031555221638,0.17744087492009905,0.4685817279443393,1.0,1.0
5,Mok_Hok_Sok,AbiE,-1,0.5664315892729328,0.12283996994740796,0.053493613824192335,0.2319036376481552,0.5,1.0,1.0
45,RM_Type_II,RM_Type_IV,-1,0.542169357923497,0.138572501878287,0.13350864012021038,0.08449228906037962,0.2593273541722472,1.0,1.0
54,RM_Type_II,Mokosh_TypeII,-1,0.5032884839520457,0.138572501878287,0.0641923365890308,0.09867775116867888,0.29494888261407315,1.0,1.0
99,MazEF,PsyrTA,1,0.4861968673551574,0.15989481592787377,0.0526671675432006,0.14231301894162388,0.39100142577900704,1.0,1.0
31,RM_Type_I,RM_Type_II,-1,0.4719693491040471,0.21284748309541698,0.138572501878287,0.12111073585456003,0.3467591594993719,1.0,1.0
64,RM_Type_IV,BREX_I,-1,0.4631228021782001,0.13350864012021038,0.03682945154019534,0.1262749222973838,0.354090503761736,1.0,1.0
57,RM_Type_II,PsyrTA,-1,0.45249112191496604,0.138572501878287,0.0526671675432006,0.22816320411265084,0.5,1.0,1.0
102,PD-T4-1,BREX_I,1,0.44633627605487813,0.019894815927873778,0.03682945154019534,0.1905057546125593,0.49824581975592436,1.0,1.0
42,RM_Type_I,PARIS_II,-1,0.4436662108742482,0.21284748309541698,0.02211870773854245,0.2178875680776321,0.5,1.0,1.0
37,RM_Type_I,Retron_II,-1,0.42761841123561206,0.21284748309541698,0.03313298271975958,0.12901605938783806,0.3580853893213464,1.0,1.0
46,RM_Type_II,CAS_Class1-Subtype-I-E,-1,0.40742337860566513,0.138572501878287,0.20018031555221638,0.2301936764712032,0.5,1.0,1.0
35,RM_Type_I,MazEF,1,0.3968429121160968,0.21284748309541698,0.15989481592787377,0.12614452414362312,0.354090503761736,1.0,1.0
44,RM_Type_I,PsyrTA,-1,0.3860109331313314,0.21284748309541698,0.0526671675432006,0.26633514850762097,0.5,1.0,1.0
71,CAS_Class1-Subtype-I-E,MazEF,-1,0.37289696347059714,0.20018031555221638,0.15989481592787377,0.28299572358921316,0.5,1.0,1.0
119,RM_Type_III,PD-T4-3,-1,0.3543718971993304,0.13646882043576258,0.07738542449286251,0.2478473780169203,0.5,1.0,1.0
117,RM_Type_III,Mokosh_TypeII,-1,0.34779093517153825,0.13646882043576258,0.0641923365890308,0.26510130778125485,0.5,1.0,1.0
41,RM_Type_I,Mokosh_TypeII,-1,0.34264990621009694,0.21284748309541698,0.0641923365890308,0.21584897026381977,0.5,1.0,1.0
56,RM_Type_II,PD-T4-3,-1,0.31985630222225625,0.138572501878287,0.07738542449286251,0.15110738426053813,0.41101208518866367,1.0,1.0
60,RM_Type_IV,MazEF,1,0.3193197718466698,0.13350864012021038,0.15989481592787377,0.20186131939632754,0.5,1.0,1.0
108,Retron_II,RM_Type_III,1,0.31098665785501334,0.03313298271975958,0.13646882043576258,0.19879408398330778,0.5,1.0,1.0
32,RM_Type_I,RM_Type_IV,1,0.3105363657245408,0.21284748309541698,0.13350864012021038,0.15524162168994418,0.4180764465313348,1.0,1.0
33,RM_Type_I,CAS_Class1-Subtype-I-E,-1,0.2865748403510189,0.21284748309541698,0.20018031555221638,0.3162474682929093,0.5,1.0,1.0
115,RM_Type_III,BREX_I,-1,0.28370639715548274,0.13646882043576258,0.03682945154019534,0.29709592202457724,0.5,1.0,1.0
78,CAS_Class1-Subtype-I-E,PARIS_II,-1,0.2695220328274745,0.20018031555221638,0.02211870773854245,0.3249220426798549,0.5,1.0,1.0
63,RM_Type_IV,RM_Type_III,-1,0.26314459192378004,0.13350864012021038,0.13646882043576258,0.3047272583273741,0.5,1.0,1.0
3,Mok_Hok_Sok,RM_Type_IV,-1,0.25886987494260616,0.12283996994740796,0.13350864012021038,0.19993092119268108,0.5,1.0,1.0
101,PD-T4-1,RM_Type_III,1,0.25702171736343465,0.019894815927873778,0.13646882043576258,0.3148779022403043,0.5,1.0,1.0
21,CBASS_I,MazEF,-1,0.24498793494535942,0.042945154019534186,0.15989481592787377,0.30162696930107363,0.5,1.0,1.0
74,CAS_Class1-Subtype-I-E,RM_Type_III,1,0.22923976025213993,0.20018031555221638,0.13646882043576258,0.31759834173110724,0.5,1.0,1.0
100,PD-T4-1,Retron_II,-1,0.2113873287803625,0.019894815927873778,0.03313298271975958,0.35553025644866104,0.5,1.0,1.0
116,RM_Type_III,AbiU,1,0.19957480505476966,0.13646882043576258,0.019053343350864012,0.2917625202527927,0.5,1.0,1.0
112,Retron_II,PARIS_II,1,0.17595367445072174,0.03313298271975958,0.02211870773854245,0.3261013048121142,0.5,1.0,1.0
16,CBASS_I,RM_Type_I,-1,0.153233372327104,0.042945154019534186,0.21284748309541698,0.31285130783810117,0.5,1.0,1.0
122,BREX_I,Mokosh_TypeII,-1,0.15221943831653473,0.03682945154019534,0.0641923365890308,0.3544045159951454,0.5,1.0,1.0
2,Mok_Hok_Sok,RM_Type_II,1,0.09776931685578916,0.12283996994740796,0.138572501878287,0.3391861308864341,0.5,1.0,1.0
51,RM_Type_II,RM_Type_III,-1,0.09516119371792064,0.138572501878287,0.13646882043576258,0.4140699845872427,0.5,1.0,1.0
1,Mok_Hok_Sok,RM_Type_I,1,0.05412590995027555,0.12283996994740796,0.21284748309541698,0.4153493580893487,0.5,1.0,1.0
67,RM_Type_IV,PARIS_II,-1,0.029881051041868112,0.13350864012021038,0.02211870773854245,0.48132809138222366,0.5,1.0,1.0
47,RM_Type_II,AbiE,1,0.020339318711332766,0.138572501878287,0.053493613824192335,0.4987474617079094,0.5,1.0,1.0
104,PD-T4-1,Mokosh_TypeII,1,0.004828907448739095,0.019894815927873778,0.0641923365890308,0.4994495746138832,0.5,1.0,1.0
